"USAF","date","admin_lvl1_name","country_iso2_id","country_name","admin_lvl1_id","period_date","dengue_total_cases","LAT","LON","ELEV(M)","wban","yearmoda","temp","dewp","slp","stp","visib","wdsp","mxspd","gust","max","min","prcp","sndp","frshtt"
NA,2010-03-01,"matara","LKA","Sri Lanka","LK.MH",20100301,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-03-01,"moneragala","LKA","Sri Lanka","LK.MJ",20100301,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-03-01,"mulativu","LKA","Sri Lanka","LK.MP",20100301,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-03-01,"polonnaruwa","LKA","Sri Lanka","LK.PR",20100301,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-03-01,"trincomalee","LKA","Sri Lanka","LK.TC",20100301,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"ampara","LKA","Sri Lanka","LK.AP",20100401,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"gampaha","LKA","Sri Lanka","LK.GQ",20100401,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"kalutara","LKA","Sri Lanka","LK.KT",20100401,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"kegalle","LKA","Sri Lanka","LK.KE",20100401,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"kilinochchi","LKA","Sri Lanka","LK.KL",20100401,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"matale","LKA","Sri Lanka","LK.MT",20100401,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2010-04-01,"matara","LKA","Sri Lanka","LK.MH",20100401,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
