"admin_lvl1_name" "date" "USAF" "country_iso2_id" "country_name" "admin_lvl1_id" "period_date" "dengue_total_cases" "LAT" "LON" "ELEV(M)" "wban" "yearmoda" "temp" "dewp" "slp" "stp" "visib" "wdsp" "mxspd" "gust" "max" "min" "prcp" "sndp" "frshtt" "predicted"
"31" "ampara" "2012-07-01" NA "LKA" "Sri Lanka" "LK.AP" 20120701 38 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 30.4799349866529
"32" "ampara" "2012-08-01" NA "LKA" "Sri Lanka" "LK.AP" 20120801 24 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 36.8655747567551
"33" "ampara" "2012-09-01" NA "LKA" "Sri Lanka" "LK.AP" 20120901 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39
"34" "ampara" "2012-10-01" NA "LKA" "Sri Lanka" "LK.AP" 20121001 33 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 7.94428678567093
"35" "ampara" "2012-11-01" NA "LKA" "Sri Lanka" "LK.AP" 20121101 83 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 38.1355531969507
"36" "ampara" "2012-12-01" NA "LKA" "Sri Lanka" "LK.AP" 20121201 144 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 101.112073781494
"37" "ampara" "2013-01-01" NA "LKA" "Sri Lanka" "LK.AP" 20130101 108 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 165.446920435033
"38" "ampara" "2013-02-01" NA "LKA" "Sri Lanka" "LK.AP" 20130201 159 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 98
"39" "ampara" "2013-03-01" NA "LKA" "Sri Lanka" "LK.AP" 20130301 158 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 139
"40" "ampara" "2013-04-01" NA "LKA" "Sri Lanka" "LK.AP" 20130401 51 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 146
"41" "ampara" "2013-05-01" NA "LKA" "Sri Lanka" "LK.AP" 20130501 53 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 65
"42" "ampara" "2013-06-01" NA "LKA" "Sri Lanka" "LK.AP" 20130601 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 60
"43" "ampara" "2013-07-01" NA "LKA" "Sri Lanka" "LK.AP" 20130701 35 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 27
"44" "ampara" "2013-08-01" NA "LKA" "Sri Lanka" "LK.AP" 20130801 30 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 21
"45" "ampara" "2013-09-01" NA "LKA" "Sri Lanka" "LK.AP" 20130901 29 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 18
"46" "ampara" "2013-10-01" NA "LKA" "Sri Lanka" "LK.AP" 20131001 22 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 50
