country_iso2_id,country_name,admin_lvl1_id,admin_lvl1_name,period_date,dengue_total_cases
LKA,Sri Lanka,LK.GQ,Gampaha,20110101,134
LKA,Sri Lanka,LK.GQ,Gampaha,20110201,119
LKA,Sri Lanka,LK.GQ,Gampaha,20110301,141
LKA,Sri Lanka,LK.GQ,Gampaha,20110401,183
LKA,Sri Lanka,LK.GQ,Gampaha,20110501,218
LKA,Sri Lanka,LK.GQ,Gampaha,20110601,537
LKA,Sri Lanka,LK.GQ,Gampaha,20110701,911
LKA,Sri Lanka,LK.GQ,Gampaha,20110801,428
LKA,Sri Lanka,LK.GQ,Gampaha,20110901,367
LKA,Sri Lanka,LK.GQ,Gampaha,20111001,321
LKA,Sri Lanka,LK.GQ,Gampaha,20111101,347
LKA,Sri Lanka,LK.GQ,Gampaha,20111201,668
LKA,Sri Lanka,LK.GQ,Gampaha,20120101,847
LKA,Sri Lanka,LK.GQ,Gampaha,20120201,640
LKA,Sri Lanka,LK.GQ,Gampaha,20120301,447
LKA,Sri Lanka,LK.GQ,Gampaha,20120401,367
LKA,Sri Lanka,LK.GQ,Gampaha,20120501,397
LKA,Sri Lanka,LK.GQ,Gampaha,20120601,1180
LKA,Sri Lanka,LK.GQ,Gampaha,20120701,969
LKA,Sri Lanka,LK.GQ,Gampaha,20120801,884
LKA,Sri Lanka,LK.GQ,Gampaha,20120901,479
LKA,Sri Lanka,LK.GQ,Gampaha,20121001,570
LKA,Sri Lanka,LK.GQ,Gampaha,20121101,737
LKA,Sri Lanka,LK.GQ,Gampaha,20121201,489
LKA,Sri Lanka,LK.GQ,Gampaha,20130101,463
LKA,Sri Lanka,LK.GQ,Gampaha,20130201,321
LKA,Sri Lanka,LK.GQ,Gampaha,20130301,289
LKA,Sri Lanka,LK.GQ,Gampaha,20130401,212
LKA,Sri Lanka,LK.GQ,Gampaha,20130501,319
LKA,Sri Lanka,LK.GQ,Gampaha,20130601,273
LKA,Sri Lanka,LK.GQ,Gampaha,20130701,385
LKA,Sri Lanka,LK.GQ,Gampaha,20130801,394
LKA,Sri Lanka,LK.GQ,Gampaha,20130901,245
LKA,Sri Lanka,LK.GQ,Gampaha,20131001,237
LKA,Sri Lanka,LK.GQ,Gampaha,20131101,383
LKA,Sri Lanka,LK.GQ,Gampaha,20131201,308
LKA,Sri Lanka,LK.GQ,Gampaha,20140101,632
LKA,Sri Lanka,LK.GQ,Gampaha,20140201,279
LKA,Sri Lanka,LK.GQ,Gampaha,20140301,191
LKA,Sri Lanka,LK.GQ,Gampaha,20140401,280
LKA,Sri Lanka,LK.GQ,Gampaha,20140501,921
LKA,Sri Lanka,LK.GQ,Gampaha,20140601,1111
LKA,Sri Lanka,LK.GQ,Gampaha,20140701,932
LKA,Sri Lanka,LK.GQ,Gampaha,20140801,772
LKA,Sri Lanka,LK.GQ,Gampaha,20140901,569
LKA,Sri Lanka,LK.GQ,Gampaha,20141001,1015
LKA,Sri Lanka,LK.GQ,Gampaha,20141101,1111
LKA,Sri Lanka,LK.GQ,Gampaha,20141201,998
LKA,Sri Lanka,LK.GQ,Gampaha,20150101,817
LKA,Sri Lanka,LK.GQ,Gampaha,20150201,492
LKA,Sri Lanka,LK.GQ,Gampaha,20150301,255
LKA,Sri Lanka,LK.GQ,Gampaha,20150401,193
LKA,Sri Lanka,LK.GQ,Gampaha,20150501,264
LKA,Sri Lanka,LK.GQ,Gampaha,20150601,225
LKA,Sri Lanka,LK.GQ,Gampaha,20150701,317
LKA,Sri Lanka,LK.GQ,Gampaha,20150801,233
LKA,Sri Lanka,LK.GQ,Gampaha,20150901,186
LKA,Sri Lanka,LK.GQ,Gampaha,20151001,277
LKA,Sri Lanka,LK.GQ,Gampaha,20151101,387
LKA,Sri Lanka,LK.GQ,Gampaha,20151201,496
LKA,Sri Lanka,LK.GQ,Gampaha,20160101,842
LKA,Sri Lanka,LK.GQ,Gampaha,20160201,615
LKA,Sri Lanka,LK.GQ,Gampaha,20160301,260
LKA,Sri Lanka,LK.GQ,Gampaha,20160401,276
LKA,Sri Lanka,LK.GQ,Gampaha,20160501,221
LKA,Sri Lanka,LK.GQ,Gampaha,20160601,555
LKA,Sri Lanka,LK.GQ,Gampaha,20160701,1625
LKA,Sri Lanka,LK.GQ,Gampaha,20160801,687
LKA,Sri Lanka,LK.GQ,Gampaha,20160901,513
LKA,Sri Lanka,LK.KT,Kalutara,20100101,121
LKA,Sri Lanka,LK.KT,Kalutara,20100201,124
LKA,Sri Lanka,LK.KT,Kalutara,20100301,119
LKA,Sri Lanka,LK.KT,Kalutara,20100401,114
LKA,Sri Lanka,LK.KT,Kalutara,20100501,185
LKA,Sri Lanka,LK.KT,Kalutara,20100601,294
LKA,Sri Lanka,LK.KT,Kalutara,20100701,420
LKA,Sri Lanka,LK.KT,Kalutara,20100801,215
LKA,Sri Lanka,LK.KT,Kalutara,20100901,122
LKA,Sri Lanka,LK.KT,Kalutara,20101001,56
LKA,Sri Lanka,LK.KT,Kalutara,20101101,23
LKA,Sri Lanka,LK.KT,Kalutara,20101201,19
LKA,Sri Lanka,LK.KT,Kalutara,20110101,48
LKA,Sri Lanka,LK.KT,Kalutara,20110201,52
LKA,Sri Lanka,LK.KT,Kalutara,20110301,57
LKA,Sri Lanka,LK.KT,Kalutara,20110401,133
LKA,Sri Lanka,LK.KT,Kalutara,20110501,148
LKA,Sri Lanka,LK.KT,Kalutara,20110601,185
LKA,Sri Lanka,LK.KT,Kalutara,20110701,188
LKA,Sri Lanka,LK.KT,Kalutara,20110801,107
LKA,Sri Lanka,LK.KT,Kalutara,20110901,93
LKA,Sri Lanka,LK.KT,Kalutara,20111001,100
LKA,Sri Lanka,LK.KT,Kalutara,20111101,111
LKA,Sri Lanka,LK.KT,Kalutara,20111201,194
LKA,Sri Lanka,LK.KT,Kalutara,20120101,180
LKA,Sri Lanka,LK.KT,Kalutara,20120201,260
LKA,Sri Lanka,LK.KT,Kalutara,20120301,209
LKA,Sri Lanka,LK.KT,Kalutara,20120401,205
LKA,Sri Lanka,LK.KT,Kalutara,20120501,182
LKA,Sri Lanka,LK.KT,Kalutara,20120601,364
LKA,Sri Lanka,LK.KT,Kalutara,20120701,348
LKA,Sri Lanka,LK.KT,Kalutara,20120801,339
LKA,Sri Lanka,LK.KT,Kalutara,20120901,156
LKA,Sri Lanka,LK.KT,Kalutara,20121001,192
LKA,Sri Lanka,LK.KT,Kalutara,20121101,213
LKA,Sri Lanka,LK.KT,Kalutara,20121201,143
LKA,Sri Lanka,LK.KT,Kalutara,20130101,159
LKA,Sri Lanka,LK.KT,Kalutara,20130201,153
LKA,Sri Lanka,LK.KT,Kalutara,20130301,168
LKA,Sri Lanka,LK.KT,Kalutara,20130401,115
LKA,Sri Lanka,LK.KT,Kalutara,20130501,164
LKA,Sri Lanka,LK.KT,Kalutara,20130601,140
LKA,Sri Lanka,LK.KT,Kalutara,20130701,178
LKA,Sri Lanka,LK.KT,Kalutara,20130801,210
LKA,Sri Lanka,LK.KT,Kalutara,20130901,148
LKA,Sri Lanka,LK.KT,Kalutara,20131001,108
LKA,Sri Lanka,LK.KT,Kalutara,20131101,166
LKA,Sri Lanka,LK.KT,Kalutara,20131201,219
